Timestamp,Email Address,Name,Name of the Institution,E-mail ID (other if any),Branch and Year,What is your current educational level?, Are you currently enrolled in a formal education program?,"If you answered ""No"" to the previous question, please specify the reason for dropping out or not enrolling.",What challenges do you face in your current educational journey? (Select all that apply),How do you believe personalized counseling could help you in your educational or career path?,Have you ever interacted with a chatbot for counseling or guidance purposes?,"If you have interacted with a chatbot for counseling, how effective was the experience?",What specific areas do you think a chatbot could assist you with in your educational or career journey? (Select all that apply),"On a scale of 1 to 5, how important is personalized support and guidance in your decision-making process regarding education and career choices?",Would you be interested in participating in a personalized counseling session with a chatbot tailored to your specific needs and goals?,How do you rate the level of career guidance and counseling available to you in your current educational institution?,What factors do you believe contribute most to student dropout rates in educational institutions? (Select all that apply),"In your opinion, what role can technology play in reducing dropout rates and improving student success?",How comfortable are you with seeking help or counseling when facing challenges in your educational journey?,What additional support or resources do you think educational institutions should provide to help students succeed and stay motivated?,Are you currently enrolled in a formal education program?
4/23/2024 20:40:54,user257@example.com,Mark Brown,Thapar University,user157@other.com,3rd year ECE,Postgraduate,,Lack of interest in chosen field of study,Personal issues,Personal issues,Yes,Somewhat effective,Providing study tips and resources,3,No,Poor,Lack of interest in chosen field of study,Chatbots for counseling,Very comfortable,Mentorship programs,Yes
4/28/2024 20:54:45,user253@example.com,Jane Smith,Tiet,user159@other.com,Computer Engineering 2024,Postgraduate,,Dissatisfaction with the curriculum,Financial difficulties,Lack of interest in the subject,Yes,Somewhat effective,Providing study tips and resources,4,No,Poor,Lack of academic support,Personalized learning platforms,Very comfortable,Career counseling,No
4/30/2024 12:18:16,user520@example.com,Alice Johnson,Thapar Institute of Engineering and Technology,user270@other.com,Computer Engineering 2024,Postgraduate,,Financial difficulties,Lack of interest in the subject,Academic pressure,No,Somewhat effective,Providing study tips and resources,4,Yes,Fair,Personal or family issues,Chatbots for counseling,Very comfortable,Mentorship programs,Yes
4/20/2024 17:39:45,user978@example.com,Alice Johnson,Tiet,user812@other.com,COE-9,Undergraduate,,Financial difficulties,Personal issues,Financial difficulties,Yes,Somewhat effective,Helping with time management,3,Yes,Excellent,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Neutral,Mental health support services,Yes
4/29/2024 16:23:50,user890@example.com,John Doe,Thapar Institute of Engineering and Technology,user662@other.com,Computer Engineering 2024,Undergraduate,,Lack of interest in chosen field of study,Lack of interest in the subject,Financial difficulties,No,Not effective,Helping with time management,5,No,Poor,Lack of academic support,Data analytics to identify at-risk students,Neutral,Financial assistance,Yes
4/29/2024 12:26:59,user687@example.com,Mark Brown,Tiet,user453@other.com,COE-9,Undergraduate,,Financial difficulties,Lack of interest in the subject,Personal issues,No,Very effective,Offering emotional support,4,No,Poor,Lack of academic support,Personalized learning platforms,Very comfortable,Career counseling,Yes
4/27/2024 22:38:20,user853@example.com,John Doe,Thapar Institute of Engineering and Technology,user850@other.com,COE-9,Postgraduate,,Lack of interest in chosen field of study,Academic pressure,Financial difficulties,Yes,Not effective,Helping with time management,1,Yes,Excellent,Lack of academic support,Data analytics to identify at-risk students,Neutral,Financial assistance,No
4/22/2024 23:59:10,user696@example.com,Jane Smith,Tiet,user581@other.com,COE-9,Postgraduate,,Financial difficulties,Personal issues,Financial difficulties,Yes,Very effective,Offering emotional support,1,Yes,Fair,Personal or family issues,Data analytics to identify at-risk students,Very comfortable,Career counseling,No
4/21/2024 11:25:48,user971@example.com,Alice Johnson,Thapar University,user414@other.com,3rd year ECE,Postgraduate,,Financial difficulties,Financial difficulties,Lack of interest in the subject,Yes,Not effective,Offering emotional support,1,No,Poor,Lack of academic support,Chatbots for counseling,Very comfortable,Mentorship programs,No
4/30/2024 14:39:28,user275@example.com,Jane Smith,Thapar University,user559@other.com,ENC,Undergraduate,,Lack of interest in chosen field of study,Academic pressure,Lack of interest in the subject,Yes,Not effective,Helping with time management,4,Yes,Poor,Lack of academic support,Personalized learning platforms,Very comfortable,Mental health support services,No
4/28/2024 11:28:20,user965@example.com,Mark Brown,Thapar Institute of Engineering and Technology,user518@other.com,COE-9,Undergraduate,,Lack of interest in chosen field of study,Academic pressure,Academic pressure,No,Not effective,Helping with time management,2,Yes,Excellent,Personal or family issues,Personalized learning platforms,Very comfortable,Mental health support services,No
4/24/2024 23:40:13,user574@example.com,Jane Smith,Thapar Institute of Engineering and Technology,user310@other.com,Computer Engineering 2024,Undergraduate,,Financial difficulties,Lack of interest in the subject,Lack of interest in the subject,No,Somewhat effective,Providing study tips and resources,1,No,Fair,Personal or family issues,Data analytics to identify at-risk students,Very comfortable,Mental health support services,No
4/25/2024 14:32:16,user674@example.com,Mark Brown,Thapar Institute of Engineering and Technology,user836@other.com,COE-9,Undergraduate,,Lack of interest in chosen field of study,Personal issues,Academic pressure,No,Not effective,Offering emotional support,3,No,Poor,Personal or family issues,Personalized learning platforms,Neutral,Career counseling,Yes
4/28/2024 15:32:23,user317@example.com,Mark Brown,Tiet,user871@other.com,COE-9,Postgraduate,,Lack of interest in chosen field of study,Academic pressure,Lack of interest in the subject,Yes,Somewhat effective,Providing study tips and resources,3,Yes,Fair,Lack of academic support,Chatbots for counseling,Very comfortable,Career counseling,No
4/24/2024 18:27:12,user692@example.com,Mark Brown,Thapar Institute of Engineering and Technology,user475@other.com,3rd year ECE,Undergraduate,,Financial difficulties,Personal issues,Financial difficulties,No,Somewhat effective,Offering emotional support,1,No,Excellent,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,Yes
4/22/2024 23:28:56,user213@example.com,Emily Davis,Thapar University,user605@other.com,Computer Engineering 2024,Undergraduate,,Lack of interest in chosen field of study,Academic pressure,Lack of interest in the subject,No,Not effective,Offering emotional support,3,No,Poor,Lack of interest in chosen field of study,Chatbots for counseling,Very comfortable,Mental health support services,Yes
4/20/2024 21:13:49,user946@example.com,Alice Johnson,Tiet,user978@other.com,3rd year ECE,Postgraduate,,Financial difficulties,Lack of interest in the subject,Financial difficulties,No,Somewhat effective,Helping with time management,4,No,Poor,Lack of interest in chosen field of study,Chatbots for counseling,Very comfortable,Career counseling,Yes
4/23/2024 13:20:15,user484@example.com,John Doe,Tiet,user348@other.com,ENC,Undergraduate,,Dissatisfaction with the curriculum,Academic pressure,Academic pressure,Yes,Very effective,Providing study tips and resources,1,Yes,Fair,Personal or family issues,Data analytics to identify at-risk students,Very comfortable,Financial assistance,Yes
4/24/2024 16:52:32,user488@example.com,Jane Smith,Thapar Institute of Engineering and Technology,user238@other.com,Computer Engineering 2024,Undergraduate,,Lack of interest in chosen field of study,Financial difficulties,Personal issues,Yes,Not effective,Providing study tips and resources,1,No,Poor,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Mental health support services,No
4/22/2024 11:20:39,user291@example.com,Emily Davis,Thapar University,user880@other.com,COE-9,Postgraduate,,Dissatisfaction with the curriculum,Academic pressure,Lack of interest in the subject,Yes,Not effective,Providing study tips and resources,1,No,Excellent,Personal or family issues,Data analytics to identify at-risk students,Very comfortable,Mental health support services,No
4/26/2024 19:35:16,user931@example.com,John Doe,Tiet,user944@other.com,3rd year ECE,Postgraduate,,Lack of interest in chosen field of study,Lack of interest in the subject,Financial difficulties,No,Somewhat effective,Providing study tips and resources,3,No,Poor,Lack of academic support,Personalized learning platforms,Very comfortable,Career counseling,Yes
4/23/2024 18:31:20,user164@example.com,John Doe,Tiet,user841@other.com,COE-9,Postgraduate,,Dissatisfaction with the curriculum,Financial difficulties,Personal issues,Yes,Not effective,Offering emotional support,3,No,Excellent,Lack of academic support,Data analytics to identify at-risk students,Neutral,Mentorship programs,Yes
4/28/2024 13:28:52,user276@example.com,Mark Brown,Thapar University,user903@other.com,COE-9,Postgraduate,,Lack of interest in chosen field of study,Academic pressure,Personal issues,No,Not effective,Providing study tips and resources,5,Yes,Poor,Lack of interest in chosen field of study,Personalized learning platforms,Neutral,Career counseling,Yes
4/29/2024 15:44:17,user429@example.com,Emily Davis,Thapar University,user373@other.com,COE-9,Undergraduate,,Dissatisfaction with the curriculum,Academic pressure,Financial difficulties,Yes,Somewhat effective,Providing study tips and resources,2,Yes,Excellent,Lack of interest in chosen field of study,Personalized learning platforms,Neutral,Career counseling,No
4/26/2024 21:36:12,user400@example.com,Alice Johnson,Thapar University,user427@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Financial difficulties,Financial difficulties,Yes,Not effective,Helping with time management,2,No,Excellent,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Financial assistance,Yes
4/26/2024 11:24:34,user168@example.com,Jane Smith,Thapar University,user998@other.com,3rd year ECE,Undergraduate,,Dissatisfaction with the curriculum,Lack of interest in the subject,Financial difficulties,No,Not effective,Providing study tips and resources,2,No,Poor,Personal or family issues,Chatbots for counseling,Very comfortable,Financial assistance,Yes
4/29/2024 22:49:15,user338@example.com,Emily Davis,Thapar Institute of Engineering and Technology,user557@other.com,3rd year ECE,Postgraduate,,Financial difficulties,Academic pressure,Financial difficulties,No,Very effective,Offering emotional support,4,Yes,Excellent,Personal or family issues,Chatbots for counseling,Neutral,Mentorship programs,Yes
4/21/2024 11:32:48,user133@example.com,John Doe,Tiet,user576@other.com,COE-9,Postgraduate,,Financial difficulties,Personal issues,Personal issues,No,Very effective,Helping with time management,5,No,Poor,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Neutral,Mental health support services,Yes
4/29/2024 21:47:30,user553@example.com,John Doe,Thapar Institute of Engineering and Technology,user115@other.com,Computer Engineering 2024,Undergraduate,,Financial difficulties,Lack of interest in the subject,Lack of interest in the subject,No,Somewhat effective,Offering emotional support,1,No,Fair,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Very comfortable,Mental health support services,Yes
4/29/2024 21:51:49,user201@example.com,Emily Davis,Thapar Institute of Engineering and Technology,user957@other.com,ENC,Undergraduate,,Lack of interest in chosen field of study,Financial difficulties,Lack of interest in the subject,Yes,Very effective,Offering emotional support,5,No,Fair,Personal or family issues,Data analytics to identify at-risk students,Neutral,Career counseling,No
4/28/2024 23:59:48,user349@example.com,Jane Smith,Thapar Institute of Engineering and Technology,user273@other.com,ENC,Undergraduate,,Dissatisfaction with the curriculum,Lack of interest in the subject,Financial difficulties,No,Somewhat effective,Helping with time management,5,Yes,Excellent,Lack of academic support,Personalized learning platforms,Very comfortable,Career counseling,No
4/26/2024 16:38:49,user738@example.com,Emily Davis,Tiet,user691@other.com,ENC,Undergraduate,,Dissatisfaction with the curriculum,Personal issues,Academic pressure,Yes,Not effective,Providing study tips and resources,3,No,Excellent,Lack of interest in chosen field of study,Chatbots for counseling,Neutral,Financial assistance,No
4/23/2024 18:41:10,user745@example.com,Emily Davis,Thapar Institute of Engineering and Technology,user431@other.com,Computer Engineering 2024,Undergraduate,,Financial difficulties,Lack of interest in the subject,Academic pressure,Yes,Not effective,Providing study tips and resources,5,No,Fair,Personal or family issues,Data analytics to identify at-risk students,Neutral,Mental health support services,Yes
4/27/2024 17:17:47,user307@example.com,John Doe,Tiet,user967@other.com,COE-9,Postgraduate,,Lack of interest in chosen field of study,Academic pressure,Personal issues,Yes,Somewhat effective,Offering emotional support,5,Yes,Poor,Lack of interest in chosen field of study,Personalized learning platforms,Very comfortable,Career counseling,No
4/26/2024 22:27:26,user197@example.com,John Doe,Thapar University,user444@other.com,COE-9,Postgraduate,,Lack of interest in chosen field of study,Lack of interest in the subject,Personal issues,Yes,Very effective,Providing study tips and resources,1,Yes,Poor,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,No
4/21/2024 18:21:29,user430@example.com,Alice Johnson,Tiet,user216@other.com,ENC,Undergraduate,,Financial difficulties,Lack of interest in the subject,Academic pressure,No,Not effective,Helping with time management,2,No,Excellent,Personal or family issues,Personalized learning platforms,Neutral,Financial assistance,No
4/25/2024 12:21:39,user655@example.com,Alice Johnson,Thapar University,user802@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Financial difficulties,Academic pressure,No,Not effective,Offering emotional support,2,Yes,Excellent,Personal or family issues,Chatbots for counseling,Neutral,Career counseling,No
4/29/2024 22:23:54,user176@example.com,John Doe,Thapar University,user763@other.com,COE-9,Postgraduate,,Dissatisfaction with the curriculum,Academic pressure,Personal issues,Yes,Very effective,Providing study tips and resources,5,No,Poor,Personal or family issues,Data analytics to identify at-risk students,Neutral,Mental health support services,No
4/21/2024 18:50:38,user377@example.com,Alice Johnson,Tiet,user382@other.com,COE-9,Undergraduate,,Lack of interest in chosen field of study,Academic pressure,Financial difficulties,No,Very effective,Helping with time management,4,Yes,Fair,Personal or family issues,Chatbots for counseling,Very comfortable,Mental health support services,Yes
4/25/2024 11:46:32,user314@example.com,Mark Brown,Thapar Institute of Engineering and Technology,user318@other.com,COE-9,Postgraduate,,Lack of interest in chosen field of study,Academic pressure,Lack of interest in the subject,Yes,Very effective,Offering emotional support,1,No,Fair,Lack of academic support,Chatbots for counseling,Neutral,Mental health support services,No
4/29/2024 17:53:41,user751@example.com,Emily Davis,Thapar University,user710@other.com,Computer Engineering 2024,Postgraduate,,Financial difficulties,Lack of interest in the subject,Academic pressure,Yes,Very effective,Offering emotional support,4,No,Fair,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Financial assistance,Yes
4/20/2024 16:41:13,user394@example.com,Mark Brown,Tiet,user945@other.com,Computer Engineering 2024,Undergraduate,,Dissatisfaction with the curriculum,Academic pressure,Lack of interest in the subject,No,Not effective,Offering emotional support,2,Yes,Excellent,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,Yes
4/20/2024 10:16:43,user364@example.com,John Doe,Thapar Institute of Engineering and Technology,user218@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Financial difficulties,Financial difficulties,No,Very effective,Helping with time management,1,Yes,Excellent,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Career counseling,Yes
4/24/2024 13:35:29,user416@example.com,Mark Brown,Thapar Institute of Engineering and Technology,user977@other.com,Computer Engineering 2024,Undergraduate,,Financial difficulties,Financial difficulties,Personal issues,Yes,Not effective,Helping with time management,3,No,Poor,Lack of academic support,Chatbots for counseling,Very comfortable,Mentorship programs,No
4/23/2024 19:52:48,user692@example.com,Jane Smith,Thapar University,user654@other.com,COE-9,Postgraduate,,Lack of interest in chosen field of study,Lack of interest in the subject,Lack of interest in the subject,Yes,Somewhat effective,Offering emotional support,3,Yes,Fair,Personal or family issues,Chatbots for counseling,Very comfortable,Mentorship programs,No
4/25/2024 17:43:15,user908@example.com,Jane Smith,Thapar University,user116@other.com,ENC,Undergraduate,,Dissatisfaction with the curriculum,Academic pressure,Lack of interest in the subject,No,Somewhat effective,Helping with time management,5,No,Fair,Personal or family issues,Chatbots for counseling,Very comfortable,Career counseling,No
4/25/2024 10:22:37,user141@example.com,John Doe,Thapar University,user135@other.com,3rd year ECE,Undergraduate,,Financial difficulties,Academic pressure,Lack of interest in the subject,No,Somewhat effective,Helping with time management,2,No,Excellent,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Career counseling,Yes
4/22/2024 22:53:44,user147@example.com,Alice Johnson,Tiet,user745@other.com,Computer Engineering 2024,Postgraduate,,Financial difficulties,Personal issues,Academic pressure,No,Very effective,Providing study tips and resources,5,No,Excellent,Lack of academic support,Personalized learning platforms,Very comfortable,Mentorship programs,No
4/28/2024 20:56:46,user118@example.com,Mark Brown,Tiet,user277@other.com,3rd year ECE,Postgraduate,,Financial difficulties,Financial difficulties,Academic pressure,Yes,Not effective,Providing study tips and resources,5,No,Poor,Lack of interest in chosen field of study,Personalized learning platforms,Very comfortable,Career counseling,No
4/29/2024 10:55:57,user596@example.com,Emily Davis,Tiet,user109@other.com,COE-9,Undergraduate,,Lack of interest in chosen field of study,Academic pressure,Personal issues,No,Very effective,Helping with time management,5,No,Poor,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Very comfortable,Career counseling,No
4/25/2024 21:16:10,user482@example.com,Alice Johnson,Tiet,user165@other.com,3rd year ECE,Undergraduate,,Dissatisfaction with the curriculum,Academic pressure,Lack of interest in the subject,No,Not effective,Helping with time management,3,Yes,Poor,Lack of academic support,Data analytics to identify at-risk students,Neutral,Mental health support services,Yes
4/23/2024 11:31:26,user634@example.com,Emily Davis,Tiet,user594@other.com,COE-9,Undergraduate,,Dissatisfaction with the curriculum,Financial difficulties,Personal issues,No,Somewhat effective,Providing study tips and resources,2,No,Excellent,Personal or family issues,Data analytics to identify at-risk students,Neutral,Financial assistance,Yes
4/21/2024 23:28:12,user503@example.com,Mark Brown,Thapar University,user263@other.com,Computer Engineering 2024,Postgraduate,,Financial difficulties,Financial difficulties,Financial difficulties,No,Not effective,Providing study tips and resources,2,Yes,Excellent,Lack of interest in chosen field of study,Chatbots for counseling,Neutral,Financial assistance,No
4/22/2024 11:46:17,user909@example.com,Jane Smith,Thapar Institute of Engineering and Technology,user260@other.com,Computer Engineering 2024,Undergraduate,,Lack of interest in chosen field of study,Personal issues,Academic pressure,No,Not effective,Offering emotional support,2,No,Poor,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,No
4/20/2024 11:46:29,user862@example.com,Emily Davis,Thapar Institute of Engineering and Technology,user991@other.com,COE-9,Undergraduate,,Financial difficulties,Lack of interest in the subject,Personal issues,No,Somewhat effective,Offering emotional support,1,Yes,Excellent,Personal or family issues,Personalized learning platforms,Neutral,Financial assistance,Yes
4/24/2024 16:57:40,user554@example.com,Jane Smith,Thapar Institute of Engineering and Technology,user964@other.com,ENC,Postgraduate,,Financial difficulties,Lack of interest in the subject,Financial difficulties,No,Very effective,Providing study tips and resources,4,No,Poor,Personal or family issues,Data analytics to identify at-risk students,Neutral,Mentorship programs,Yes
4/24/2024 11:56:30,user946@example.com,Alice Johnson,Thapar University,user360@other.com,ENC,Postgraduate,,Lack of interest in chosen field of study,Lack of interest in the subject,Personal issues,No,Not effective,Providing study tips and resources,2,Yes,Fair,Personal or family issues,Data analytics to identify at-risk students,Neutral,Mentorship programs,No
4/29/2024 15:58:28,user914@example.com,John Doe,Tiet,user926@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Academic pressure,Lack of interest in the subject,Yes,Very effective,Helping with time management,3,No,Excellent,Lack of academic support,Data analytics to identify at-risk students,Neutral,Mental health support services,No
4/20/2024 19:31:32,user427@example.com,Emily Davis,Thapar University,user186@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Personal issues,Academic pressure,Yes,Very effective,Offering emotional support,1,No,Poor,Lack of academic support,Personalized learning platforms,Very comfortable,Mentorship programs,Yes
4/24/2024 10:55:13,user427@example.com,Jane Smith,Thapar University,user569@other.com,3rd year ECE,Postgraduate,,Lack of interest in chosen field of study,Lack of interest in the subject,Personal issues,No,Very effective,Providing study tips and resources,4,No,Excellent,Lack of academic support,Personalized learning platforms,Very comfortable,Mental health support services,Yes
4/20/2024 20:38:33,user604@example.com,Alice Johnson,Thapar Institute of Engineering and Technology,user787@other.com,COE-9,Postgraduate,,Dissatisfaction with the curriculum,Lack of interest in the subject,Personal issues,No,Somewhat effective,Helping with time management,3,No,Fair,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,No
4/28/2024 12:39:49,user117@example.com,Emily Davis,Tiet,user270@other.com,ENC,Undergraduate,,Financial difficulties,Personal issues,Personal issues,Yes,Somewhat effective,Helping with time management,4,No,Poor,Lack of academic support,Personalized learning platforms,Very comfortable,Career counseling,Yes
4/20/2024 12:59:36,user390@example.com,Mark Brown,Thapar Institute of Engineering and Technology,user918@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Academic pressure,Academic pressure,No,Somewhat effective,Providing study tips and resources,4,Yes,Fair,Lack of academic support,Personalized learning platforms,Neutral,Financial assistance,Yes
4/24/2024 18:16:20,user282@example.com,Mark Brown,Tiet,user904@other.com,Computer Engineering 2024,Undergraduate,,Lack of interest in chosen field of study,Financial difficulties,Personal issues,Yes,Not effective,Helping with time management,4,Yes,Fair,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,Yes
4/20/2024 16:31:17,user495@example.com,Jane Smith,Thapar Institute of Engineering and Technology,user139@other.com,Computer Engineering 2024,Postgraduate,,Financial difficulties,Academic pressure,Academic pressure,Yes,Somewhat effective,Offering emotional support,5,Yes,Excellent,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Financial assistance,No
4/30/2024 16:13:38,user540@example.com,Mark Brown,Tiet,user516@other.com,COE-9,Undergraduate,,Financial difficulties,Financial difficulties,Financial difficulties,Yes,Very effective,Helping with time management,3,No,Excellent,Lack of interest in chosen field of study,Chatbots for counseling,Very comfortable,Career counseling,No
4/30/2024 12:34:13,user319@example.com,Emily Davis,Tiet,user260@other.com,3rd year ECE,Undergraduate,,Lack of interest in chosen field of study,Lack of interest in the subject,Academic pressure,Yes,Not effective,Offering emotional support,5,Yes,Fair,Personal or family issues,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,Yes
4/29/2024 15:51:57,user581@example.com,Alice Johnson,Tiet,user341@other.com,COE-9,Undergraduate,,Financial difficulties,Financial difficulties,Academic pressure,No,Somewhat effective,Offering emotional support,5,Yes,Fair,Lack of academic support,Chatbots for counseling,Very comfortable,Mentorship programs,No
4/25/2024 16:29:26,user869@example.com,Alice Johnson,Thapar Institute of Engineering and Technology,user762@other.com,3rd year ECE,Undergraduate,,Dissatisfaction with the curriculum,Personal issues,Academic pressure,No,Not effective,Providing study tips and resources,4,No,Fair,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Neutral,Mentorship programs,No
4/23/2024 22:16:22,user333@example.com,Alice Johnson,Thapar Institute of Engineering and Technology,user358@other.com,3rd year ECE,Undergraduate,,Lack of interest in chosen field of study,Financial difficulties,Financial difficulties,No,Very effective,Offering emotional support,5,No,Excellent,Lack of academic support,Personalized learning platforms,Very comfortable,Financial assistance,No
4/25/2024 11:25:39,user400@example.com,John Doe,Thapar Institute of Engineering and Technology,user142@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Personal issues,Lack of interest in the subject,No,Somewhat effective,Providing study tips and resources,1,No,Poor,Lack of academic support,Chatbots for counseling,Neutral,Financial assistance,Yes
4/21/2024 12:24:22,user190@example.com,Alice Johnson,Thapar University,user988@other.com,ENC,Postgraduate,,Lack of interest in chosen field of study,Financial difficulties,Financial difficulties,No,Not effective,Providing study tips and resources,1,Yes,Excellent,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Neutral,Career counseling,Yes
4/23/2024 12:38:36,user939@example.com,Jane Smith,Thapar University,user130@other.com,ENC,Postgraduate,,Dissatisfaction with the curriculum,Personal issues,Lack of interest in the subject,No,Not effective,Helping with time management,2,Yes,Poor,Personal or family issues,Data analytics to identify at-risk students,Very comfortable,Mentorship programs,Yes
4/27/2024 20:29:35,user737@example.com,John Doe,Thapar University,user104@other.com,COE-9,Postgraduate,,Dissatisfaction with the curriculum,Lack of interest in the subject,Lack of interest in the subject,No,Not effective,Offering emotional support,3,Yes,Excellent,Lack of academic support,Chatbots for counseling,Very comfortable,Mental health support services,No
